City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,arrifes,37.7667,-25.7,291.29,100,75,4.63,PT,1686622868
83,kaoma,-14.7833,24.8,285.89,53,79,0.91,ZM,1686622869
84,namibe,-15.1961,12.1522,289.02,80,4,1.59,AO,1686622869
85,aykhal,66.0,111.5,287.45,36,13,7.45,RU,1686622589
86,puerto baquerizo moreno,-0.9,-89.6,299.11,82,24,5.33,EC,1686622870
87,saryozek,44.3583,77.9753,296.04,39,100,0.68,KZ,1686622870
88,hastings,50.8552,0.5729,290.81,28,13,4.98,GB,1686622871
89,tiksi,71.6872,128.8694,275.35,96,100,3.0,RU,1686622871
90,margate,51.3813,1.3862,288.54,84,1,1.79,GB,1686622871
91,isafjordur,66.0755,-23.124,280.89,81,52,3.15,IS,1686622872
92,port saint john's,-31.6229,29.5448,287.79,71,82,2.22,ZA,1686622872
93,abdulino,53.7,53.6667,282.28,74,93,7.54,RU,1686622873
94,kapuskasing,49.4169,-82.4331,290.15,82,100,2.06,CA,1686622873
95,queenstown,-31.8976,26.8753,280.61,59,67,6.59,ZA,1686622874
96,nar'yan-mar,67.6713,53.087,281.49,69,72,3.86,RU,1686622874
97,bermejo,-32.8833,-68.8,276.1,56,0,0.0,AR,1686622874
98,karabar,-35.3753,149.2308,286.75,81,40,6.17,AU,1686622875
99,margaret river,-33.95,115.0667,288.92,69,100,7.38,AU,1686622875
100,lerwick,60.1545,-1.1494,285.15,93,100,3.15,GB,1686622875
101,ardabil,38.2498,48.2933,283.9,93,40,2.06,IR,1686622876
102,kaiyuan,23.6977,103.3037,292.8,94,100,2.3,CN,1686622876
103,ivdel',60.6911,60.4206,285.34,62,59,3.28,RU,1686622876
104,fort bragg,35.139,-79.006,296.94,88,75,1.54,US,1686622877
105,vila velha,-20.3297,-40.2925,297.12,90,20,4.12,BR,1686622878
106,kamiiso,41.8167,140.65,291.36,88,75,5.66,JP,1686622878
107,dudinka,69.4058,86.1778,281.83,61,80,2.73,RU,1686622879
108,las lomitas,-24.7096,-60.593,282.32,44,100,2.81,AR,1686622879
109,al jawf,29.5,38.75,297.32,32,0,2.55,SA,1686622879
110,ketchikan,55.3422,-131.6461,290.41,55,0,4.12,US,1686622880
111,remire-montjoly,4.9167,-52.2667,298.17,94,100,1.03,GF,1686622880
112,polyarnyy,69.1989,33.4478,282.41,71,99,3.42,RU,1686622585
113,iqaluit,63.7506,-68.5145,274.0,69,75,4.63,CA,1686622726
114,la'ie,21.6477,-157.9253,304.13,69,0,2.68,US,1686622881
115,rawson,-43.3002,-65.1023,279.48,51,98,2.49,AR,1686622842
116,nova vicosa,-17.8919,-39.3719,295.48,87,0,3.76,BR,1686622882
117,codrington,-38.2667,141.9667,285.92,75,100,6.92,AU,1686622883
118,oranjemund,-28.55,16.4333,285.53,82,0,1.39,NA,1686622883
119,broome,42.2506,-75.833,290.94,96,100,5.66,US,1686622884
120,wynyard,-41.0,145.7167,285.36,92,100,4.75,AU,1686622884
121,ataq,14.5377,46.8319,300.66,36,91,2.3,YE,1686622884
122,palmer,42.1584,-72.3287,293.07,84,100,0.0,US,1686622600
123,petropavlovsk-kamchatsky,53.0452,158.6483,296.48,33,0,3.0,RU,1686622885
124,tshabong,-26.05,22.45,279.78,73,0,3.98,BW,1686622886
125,brookings,44.3114,-96.7984,293.34,50,0,0.0,US,1686622886
126,chonchi,-42.6128,-73.8092,276.71,95,18,0.85,CL,1686622887
127,happy valley-goose bay,53.3168,-60.3315,288.32,47,75,2.06,CA,1686622887
128,el calafate,-50.3408,-72.2768,273.53,69,100,1.58,AR,1686622887
129,argo,37.6333,22.7333,291.36,77,81,1.44,GR,1686622888
130,tommot,58.9564,126.2925,277.8,96,100,0.82,RU,1686622888
131,tolanaro,-25.0319,46.9987,291.22,90,3,2.03,MG,1686622589
132,cockburn town,21.4612,-71.1419,301.17,84,8,9.64,TC,1686622766
133,turkmenbasy,40.0222,52.9552,293.58,88,0,0.0,TM,1686622889
134,mejit,10.2753,170.8646,300.9,80,79,8.75,MH,1686622890
135,north bend,43.4065,-124.2243,291.06,88,100,3.6,US,1686622867
136,saldanha,-33.0117,17.9442,286.18,84,100,8.05,ZA,1686622890
137,kainantu,-6.2887,145.8655,296.61,61,67,2.41,PG,1686622891
138,thompson,55.7435,-97.8558,281.24,81,100,5.14,CA,1686622703
139,hami,42.8,93.45,305.43,15,63,4.56,CN,1686622891
140,santa marta,11.2408,-74.199,302.53,70,75,2.06,CO,1686622892
141,troitsko-pechorsk,62.7084,56.1964,285.67,72,99,3.11,RU,1686622892
142,emerald,-23.5333,148.1667,298.9,48,3,1.55,AU,1686622892
143,vorkuta,67.5,64.0,280.38,57,100,5.03,RU,1686622893
144,tindouf,27.6711,-8.1474,291.77,78,0,10.54,DZ,1686622893
145,laojunmiao,39.8333,97.7333,298.04,16,0,7.84,CN,1686622894
